32-850,9175.00192026436,41161.5043834201
33-530,173.119727193528,623.144771095898
35-700,225.954198584578,7109.03947753115
35-730,1052.06940963202,9104.63711302178
35-755,1351.48177016319,10205.1767225355
36-670,532.71099814217,13530.575447845
04-260,7.15415821589275,1396.32768830287
06-007,9.7165502122635,12367.8177560098
06-015,5153.42318934757,32409.4554782988
06-024,873.614582218579,5666.61961539694
06-040,10.4479957228158,5725.12431300284
06-050,7.51990205473592,9523.07685775492
06-053,1959.00617521677,4143.33525082975
09-660,9.31734690492227,7032.82255587804
06-030,968.81208487287,23556.3979552549
06-056,5.30405234279533,3528.91318101047
06-060,217.246415008101,9472.91685341036
06-090,45.5650800382687,1608.57986341958
39-316,8.08411575777451,31067.7087175803
39-942,4521.12815653002,11711.9957207409
40-016,6.160806677476,39757.0700394083
40-326,73.4803349350849,18711.6436628339
40-328,129.380055576854,40102.4725727912
38-804,517.244984122282,14657.6192897913
39-920,14.1480764374608,6733.77910011019
40-002,53.2762521454719,10786.0140959531
40-012,5.09544852815234,7407.3443739072
40-014,19.7764353383839,14464.1359240387
40-020,166.852993845223,6586.77626929011
40-022,112.386935945126,15755.9472264993
40-026,145.083996328499,14189.6140176111
40-030,26.0471383615505,67290.4430887623
40-032,43.5376429609945,14111.5710955235
40-034,65.2764499867049,26261.9770614601
40-036,64.7012156242546,12775.1350028224
